date,symbol,prev_close,open,high,low,close,volume
2026-06-08,NICSF,33.69,9.40,9.40,9.13,9.35,"24,809.40"
2026-06-08,NIFRA,28.73,261.79,264.60,261.30,261.50,"18,447,395.01"
2026-06-08,NIFRAUR85/86,39.96,"1,040.20","1,071.00","1,040.20","1,071.00","62,727.50"
2026-06-08,NIL,39.43,663.00,670.00,656.20,656.20,"9,519,771.40"
2026-06-08,NIMB,24.41,207.90,207.90,197.00,197.30,"9,156,793.50"
2026-06-08,NIMBPO,30.15,150.00,150.00,145.50,145.50,"1,574,155.60"
2026-06-08,NLG,45.14,650.00,759.00,631.10,647.00,"19,944,384.20"
2026-06-08,NLIC,29.28,770.00,777.00,765.20,767.60,"20,076,627.00"
2026-06-08,NLICL,31.68,585.30,595.00,585.10,595.00,"2,538,153.20"
2026-06-08,NMB,24.97,244.00,246.00,242.70,243.20,"4,015,950.60"
2026-06-08,NMB50,35.67,10.99,10.99,10.99,10.99,"118,999.72"
2026-06-08,NMBHF2,34.47,9.56,9.90,9.56,9.71,"160,051.00"
2026-06-08,NMBMF,45.99,641.10,652.00,640.10,642.00,"1,328,155.50"
2026-06-08,NMFBS,35.21,"1,140.00","1,146.00","1,136.00","1,146.00","6,870,022.80"
2026-06-08,NMIC,40.49,"1,137.10","1,137.10","1,058.00","1,067.80","4,940,662.00"
2026-06-08,NMLBBL,42.46,583.10,596.90,583.10,595.90,"2,537,387.80"
2026-06-08,NRIC,43.42,"1,085.00","1,099.90","1,055.00","1,070.00","64,057,718.20"
2026-06-08,NRM,25.26,365.00,366.00,359.00,361.50,"4,729,330.10"
2026-06-08,NRN,28.04,"1,306.00","1,396.00","1,306.00","1,381.00","68,603,281.40"
2026-06-08,NSIF2,31.62,10.75,10.85,10.75,10.85,"632,250.00"
2026-06-08,NSY,31.10,9.79,9.79,9.41,9.69,"132,824.55"
2026-06-08,NTC,27.44,851.10,860.00,851.10,857.00,"13,423,339.50"
2026-06-08,NUBL,43.98,661.00,666.00,655.00,666.00,"2,470,679.40"
2026-06-08,NWCL,33.45,806.00,806.00,777.20,790.00,"2,510,962.00"
2026-06-08,NYADI,42.99,435.00,435.00,416.50,421.00,"5,403,204.20"
2026-06-08,OHL,42.41,702.40,709.00,697.20,709.00,"1,442,305.10"
2026-06-08,OMPL,24.28,"1,154.00","1,165.00","1,154.00","1,155.00","1,510,512.90"
2026-06-08,PBD84,41.01,"1,110.00","1,110.00","1,110.00","1,110.00","27,750.00"
2026-06-08,PBD88,29.26,"1,207.00","1,207.00","1,195.00","1,195.00","64,530.00"
2026-06-08,PBLD84,19.15,"1,085.10","1,085.10","1,085.10","1,076.00","2,152.00"
2026-06-08,PCBL,27.57,240.00,242.00,239.00,240.00,"8,072,059.50"
2026-06-08,PCIL,32.44,749.80,850.00,749.80,780.00,"30,641,373.20"
2026-06-08,PFL,50.11,374.00,392.00,370.00,390.00,"10,202,810.40"
2026-06-08,PHCL,29.02,310.00,310.40,304.10,307.70,"19,692,905.80"
2026-06-08,PMHPL,29.10,338.00,339.90,337.50,338.00,"2,419,681.50"
2026-06-08,PMLI,49.30,469.10,491.00,469.10,481.00,"5,834,298.40"
2026-06-08,PPCL,30.57,389.00,398.90,376.00,386.00,"6,161,586.70"
2026-06-08,PPL,29.51,332.50,360.00,332.50,351.00,"10,421,105.30"
2026-06-08,PRIN,42.55,720.00,720.00,699.00,703.00,"21,431,278.30"
2026-06-08,PROFL,50.11,457.90,475.00,457.90,466.00,"25,859,119.50"
2026-06-08,PRSF,29.92,12.96,13.10,12.96,12.99,"6,978,006.02"
2026-06-08,PRVU,26.59,187.20,199.90,187.20,197.00,"14,348,698.90"
2026-06-08,PSF,36.50,12.16,12.50,12.16,12.50,"5,346,808.70"
2026-06-08,PURE,20.31,917.00,920.00,906.00,910.00,"5,972,815.60"
