symbol,close_price,open_price,high,low,volume,date
ACLBSL,960.00,964.00,960.00,0.00,956.38,2026-06-07
ADBL,317.00,319.00,317.00,0.00,312.58,2026-06-07
AHL,496.50,497.00,496.50,0.00,494.71,2026-06-07
AHPC,277.00,280.00,277.00,0.00,277.89,2026-06-07
AKJCL,413.00,428.00,413.00,0.00,412.32,2026-06-07
AKPL,267.00,272.00,267.00,0.00,268.74,2026-06-07
ALBSL,"1,106.00","1,108.00","1,106.00",0.00,"1,093.18",2026-06-07
ALICL,459.00,462.00,459.00,0.00,459.14,2026-06-07
ANLB,"5,940.00","5,944.90","5,940.00",0.00,"5,853.28",2026-06-07
API,348.00,359.00,348.00,0.00,349.87,2026-06-07
AVYAN,"1,114.90","1,128.00","1,114.90",0.00,"1,108.18",2026-06-07
BANDIPUR,820.00,826.00,820.00,0.00,818.39,2026-06-07
BARUN,340.00,347.80,340.00,0.00,341.14,2026-06-07
BBC,"4,475.00","4,510.00","4,475.00",0.00,"4,440.15",2026-06-07
BEDC,361.00,365.00,361.00,0.00,361.66,2026-06-07
BFC,514.00,523.50,514.00,0.00,511.24,2026-06-07
BGWT,656.00,663.90,656.00,0.00,657.63,2026-06-07
BHCL,594.00,629.40,594.00,0.00,588.88,2026-06-07
BHDC,463.00,466.00,463.00,0.00,461.40,2026-06-07
BHL,219.00,222.90,219.00,0.00,219.69,2026-06-07
BHPL,548.60,565.00,548.60,0.00,546.75,2026-06-07
BJHL,867.90,900.00,867.90,0.00,871.37,2026-06-07
BNHC,333.80,333.80,333.80,0.00,331.45,2026-06-07
BPCL,679.90,696.00,679.90,0.00,681.93,2026-06-07
BUNGAL,700.10,730.00,700.10,0.00,712.98,2026-06-07
C30MF,10.01,10.01,10.01,0.00,10.01,2026-06-07
CBBL,921.00,928.00,921.00,0.00,921.17,2026-06-07
CBLD88,"1,190.00","1,190.00","1,190.00",0.00,"1,190.00",2026-06-07
CCBD88,"1,262.40","1,262.90","1,262.40",0.00,"1,260.93",2026-06-07
CFCL,630.00,649.90,630.00,0.00,628.28,2026-06-07
CGH,792.00,797.00,792.00,0.00,790.91,2026-06-07
CHCL,495.40,500.00,495.40,0.00,495.88,2026-06-07
CHDC,"2,269.00","2,289.00","2,269.00",0.00,"2,269.54",2026-06-07
CHL,291.00,292.00,291.00,0.00,289.40,2026-06-07
CIT,"1,755.00","1,770.00","1,755.00",0.00,"1,755.43",2026-06-07
CITY,402.00,407.00,402.00,0.00,390.34,2026-06-07
CIZBD86,"1,180.00","1,180.00","1,180.00",0.00,"1,180.00",2026-06-07
CKHL,665.00,665.50,665.00,0.00,658.94,2026-06-07
CLI,465.50,465.50,465.50,0.00,463.89,2026-06-07
CMF2,10.00,10.00,10.00,0.00,10.00,2026-06-07
CORBL,"1,966.10","2,026.00","1,966.10",0.00,"1,974.06",2026-06-07
CREST,"1,254.50","1,333.00","1,254.50",0.00,"1,255.94",2026-06-07
CSY,9.70,9.70,9.70,0.00,9.41,2026-06-07
CYCL,"1,455.00","1,466.00","1,455.00",0.00,"1,456.64",2026-06-07
CZBIL,202.50,205.00,202.50,0.00,202.92,2026-06-07
DDBL,850.00,850.00,850.00,0.00,846.65,2026-06-07
DHEL,621.00,626.50,621.00,0.00,621.14,2026-06-07
DHPL,302.00,308.90,302.00,0.00,302.77,2026-06-07
DLBS,"1,266.00","1,295.00","1,266.00",0.00,"1,271.14",2026-06-07
DOLTI,350.00,355.00,350.00,0.00,350.60,2026-06-07
DORDI,273.80,278.90,273.80,0.00,273.23,2026-06-07
EBL,709.40,711.00,709.40,0.00,708.54,2026-06-07
EBLD85,"1,160.00","1,160.10","1,160.00",0.00,"1,160.03",2026-06-07
EBLD86,"1,145.00","1,145.00","1,145.00",0.00,"1,144.98",2026-06-07
EBLD91,"1,099.00","1,100.00","1,099.00",0.00,"1,099.85",2026-06-07
EBLEB89,"1,080.00","1,080.00","1,080.00",0.00,"1,080.00",2026-06-07
EDBL,588.20,595.80,588.20,0.00,589.41,2026-06-07
EHPL,387.90,390.00,387.90,0.00,384.43,2026-06-07
ENL,880.00,894.00,880.00,0.00,882.23,2026-06-07
FMDBL,788.80,800.00,788.80,0.00,785.96,2026-06-07
FOWAD,"1,039.00","1,059.00","1,039.00",0.00,"1,042.24",2026-06-07
GBBD85,"1,115.00","1,115.00","1,115.00",0.00,"1,111.88",2026-06-07
GBBL,416.00,417.90,416.00,0.00,416.19,2026-06-07
GBILD86/87,"1,121.00","1,121.00","1,121.00",0.00,"1,121.00",2026-06-07
GBIME,238.10,239.50,238.10,0.00,238.03,2026-06-07
GBIMESY2,9.40,9.40,9.40,0.00,9.36,2026-06-07
GBLBS,780.00,793.80,780.00,0.00,777.18,2026-06-07
GCIL,418.00,424.90,418.00,0.00,418.16,2026-06-07
GFCL,669.00,675.00,669.00,0.00,664.77,2026-06-07
GHL,235.00,240.00,235.00,0.00,235.82,2026-06-07
GIBF1,11.00,11.00,11.00,0.00,10.87,2026-06-07
GILB,"1,130.00","1,130.00","1,130.00",0.00,"1,115.69",2026-06-07
GLBSL,"1,813.90","1,813.90","1,813.90",0.00,"1,775.50",2026-06-07
GLH,265.00,270.90,265.00,0.00,266.23,2026-06-07
GMFBS,"1,297.90","1,299.00","1,297.90",0.00,"1,276.02",2026-06-07
GMFIL,495.50,507.00,495.50,0.00,498.02,2026-06-07
GMLI,"1,329.00","1,380.00","1,329.00",0.00,"1,364.15",2026-06-07
GRDBL,"1,065.00","1,099.90","1,065.00",0.00,"1,072.09",2026-06-07
GSY,10.02,10.03,10.02,0.00,9.98,2026-06-07
GUFL,581.00,581.00,581.00,0.00,576.85,2026-06-07
GVL,490.00,497.00,490.00,0.00,490.54,2026-06-07
H8020,12.16,12.16,12.16,0.00,11.87,2026-06-07
HATHY,787.00,791.00,787.00,0.00,783.82,2026-06-07
HBL,201.00,202.00,201.00,0.00,200.58,2026-06-07
HBLD83,"1,036.10","1,035.00","1,036.10",0.00,"1,036.10",2026-06-07
HDHPC,218.90,224.00,218.90,0.00,219.19,2026-06-07
HDL,"1,168.00","1,177.00","1,168.00",0.00,"1,170.02",2026-06-07
HEI,565.00,573.90,565.00,0.00,563.79,2026-06-07
HEIP,352.00,360.00,352.00,0.00,356.00,2026-06-07
HFIN,886.00,925.00,886.00,0.00,895.13,2026-06-07
HHL,358.30,367.00,358.30,0.00,361.20,2026-06-07
HIDCL,265.00,269.50,265.00,0.00,265.39,2026-06-07
HIDCLP,201.40,202.70,201.40,0.00,200.87,2026-06-07
HIMSTAR,846.00,860.00,846.00,0.00,845.16,2026-06-07
HLBSL,899.90,899.90,899.90,0.00,886.68,2026-06-07
HLI,341.90,348.00,341.90,0.00,343.44,2026-06-07
HLICF,9.35,9.37,9.35,0.00,9.08,2026-06-07
HPPL,374.20,380.00,374.20,0.00,375.82,2026-06-07
HRL,661.00,679.00,661.00,0.00,660.18,2026-06-07
HURJA,252.50,257.50,252.50,0.00,252.19,2026-06-07
ICFC,649.00,657.70,649.00,0.00,651.51,2026-06-07
ICFCD88,"1,157.00","1,157.00","1,157.00",0.00,"1,157.00",2026-06-07
ICFCD89,"1,105.00","1,097.00","1,105.00",0.00,"1,096.00",2026-06-07
IGI,460.70,474.80,460.70,0.00,463.63,2026-06-07
IHL,402.00,408.90,402.00,0.00,403.77,2026-06-07
ILBS,916.00,929.60,916.00,0.00,916.26,2026-06-07
ILI,441.50,449.00,441.50,0.00,442.78,2026-06-07
JBBL,359.90,364.70,359.90,0.00,359.56,2026-06-07
JBLB,"1,297.00","1,310.00","1,297.00",0.00,"1,298.48",2026-06-07
JFL,428.60,433.00,428.60,0.00,428.72,2026-06-07
JHAPA,"1,380.00","1,391.00","1,380.00",0.00,"1,346.45",2026-06-07
JOSHI,278.00,283.00,278.00,0.00,279.40,2026-06-07
JSLBB,"1,095.00","1,096.00","1,095.00",0.00,"1,095.71",2026-06-07
KBL,215.40,217.50,215.40,0.00,215.33,2026-06-07
KBLD86,"1,180.00","1,180.00","1,180.00",0.00,"1,180.00",2026-06-07
KBLD90,"1,206.00","1,210.00","1,206.00",0.00,"1,206.00",2026-06-07
