symbol,close_price,open_price,high,low,volume,date
KBSH,"1,543.00","1,550.00","1,543.00",0.00,"1,541.00",2026-06-07
KDBY,11.40,11.44,11.40,0.00,11.40,2026-06-07
KDL,834.00,849.60,834.00,0.00,827.77,2026-06-07
KEF,10.90,10.91,10.90,0.00,10.90,2026-06-07
KHPL,757.60,757.60,757.60,0.00,754.49,2026-06-07
KKHC,264.00,282.90,264.00,0.00,264.72,2026-06-07
KMCDB,871.00,872.00,871.00,0.00,869.84,2026-06-07
KPCL,495.00,497.50,495.00,0.00,493.76,2026-06-07
KSBBL,491.00,504.70,491.00,0.00,494.12,2026-06-07
KSBBLD87,"1,132.00","1,132.00","1,132.00",0.00,"1,132.00",2026-06-07
KSY,9.75,9.99,9.75,0.00,9.97,2026-06-07
LBBL,500.00,505.00,500.00,0.00,500.63,2026-06-07
LBLD88,"1,144.80","1,144.80","1,144.80",0.00,"1,144.13",2026-06-07
LEC,223.10,225.90,223.10,0.00,223.71,2026-06-07
LICN,818.00,821.00,818.00,0.00,819.17,2026-06-07
LLBS,945.00,948.00,945.00,0.00,943.60,2026-06-07
LSL,221.20,227.00,221.20,0.00,222.03,2026-06-07
LUK,9.94,9.94,9.94,0.00,9.93,2026-06-07
LVF2,9.96,10.01,9.96,0.00,9.95,2026-06-07
MABEL,689.00,727.50,689.00,0.00,698.17,2026-06-07
MAKAR,496.60,500.00,496.60,0.00,497.82,2026-06-07
MANDU,820.00,830.00,820.00,0.00,818.39,2026-06-07
MATRI,902.00,910.00,902.00,0.00,894.36,2026-06-07
MBJC,286.00,288.20,286.00,0.00,285.10,2026-06-07
MBL,249.70,254.00,249.70,0.00,249.78,2026-06-07
MBLEF,10.20,10.20,10.20,0.00,10.20,2026-06-07
MCHL,315.30,318.00,315.30,0.00,314.41,2026-06-07
MDB,620.40,630.00,620.40,0.00,622.24,2026-06-07
MEHL,377.60,385.00,377.60,0.00,378.42,2026-06-07
MEL,240.00,250.00,240.00,0.00,244.29,2026-06-07
MEN,612.00,630.00,612.00,0.00,611.37,2026-06-07
MERO,730.70,744.90,730.70,0.00,726.33,2026-06-07
MFIL,804.90,805.00,804.90,0.00,795.04,2026-06-07
MHCL,354.00,355.00,354.00,0.00,349.99,2026-06-07
MHL,500.00,504.00,500.00,0.00,500.46,2026-06-07
MHNL,262.00,268.00,262.00,0.00,260.71,2026-06-07
MKCL,"1,267.00","1,270.00","1,267.00",0.00,"1,256.13",2026-06-07
MKHC,321.00,325.00,321.00,0.00,319.09,2026-06-07
MKHL,515.00,525.00,515.00,0.00,511.47,2026-06-07
MKJC,503.50,503.80,503.50,0.00,496.94,2026-06-07
MLBBL,"1,209.50","1,209.50","1,209.50",0.00,"1,192.63",2026-06-07
MLBL,367.50,377.00,367.50,0.00,369.87,2026-06-07
MLBS,"1,275.00","1,289.90","1,275.00",0.00,"1,257.39",2026-06-07
MLBSL,"1,790.00","1,790.00","1,790.00",0.00,"1,773.47",2026-06-07
MMF1,9.45,9.53,9.45,0.00,9.25,2026-06-07
MMKJL,518.00,525.00,518.00,0.00,519.82,2026-06-07
MNBBL,375.00,377.00,375.00,0.00,374.77,2026-06-07
MND84/85,"1,076.10","1,076.10","1,076.10",0.00,"1,073.00",2026-06-07
MNMF1,9.85,9.90,9.85,0.00,9.85,2026-06-07
MPFL,642.00,659.00,642.00,0.00,647.60,2026-06-07
MSHL,690.00,690.00,690.00,0.00,688.01,2026-06-07
MSLB,"1,228.00","1,242.00","1,228.00",0.00,"1,234.52",2026-06-07
NABBC,916.90,917.00,916.90,0.00,911.84,2026-06-07
NABIL,535.00,540.00,535.00,0.00,536.42,2026-06-07
NABILD87,"1,152.10","1,152.10","1,152.10",0.00,"1,152.10",2026-06-07
NADEP,755.20,764.90,755.20,0.00,758.69,2026-06-07
NBBD2085,"1,150.00","1,150.00","1,150.00",0.00,"1,089.54",2026-06-07
NBF2,10.37,10.69,10.37,0.00,10.55,2026-06-07
NBF3,10.03,10.04,10.03,0.00,10.02,2026-06-07
NBL,268.00,272.50,268.00,0.00,268.67,2026-06-07
NCCD86,"1,181.50","1,181.50","1,181.50",0.00,"1,181.49",2026-06-07
NESDO,"1,540.00","1,550.00","1,540.00",0.00,"1,541.71",2026-06-07
NFS,620.00,635.00,620.00,0.00,625.73,2026-06-07
NGPL,439.90,443.00,439.90,0.00,438.17,2026-06-07
NHDL,637.90,639.00,637.90,0.00,636.34,2026-06-07
NHPC,283.50,291.90,283.50,0.00,284.41,2026-06-07
NIBLGF,9.40,9.45,9.40,0.00,9.39,2026-06-07
NIBLSTF,9.20,9.20,9.20,0.00,9.11,2026-06-07
NIBSF2,9.22,9.30,9.22,0.00,9.22,2026-06-07
NICA,346.00,350.90,346.00,0.00,347.04,2026-06-07
NICBF,9.75,9.75,9.75,0.00,9.57,2026-06-07
NICFC,9.54,9.54,9.54,0.00,9.42,2026-06-07
NICGF2,9.36,9.65,9.36,0.00,9.36,2026-06-07
NICL,563.00,570.00,563.00,0.00,562.11,2026-06-07
NICLBSL,578.00,580.00,578.00,0.00,577.10,2026-06-07
NICSF,9.35,9.40,9.35,0.00,9.19,2026-06-07
NIFRA,261.50,264.60,261.50,0.00,262.07,2026-06-07
NIFRAUR85/86,"1,071.00","1,071.00","1,071.00",0.00,"1,045.46",2026-06-07
NIL,656.20,670.00,656.20,0.00,663.44,2026-06-07
NIMB,197.30,207.90,197.30,0.00,197.34,2026-06-07
NIMBPO,145.50,150.00,145.50,0.00,145.84,2026-06-07
NLG,647.00,759.00,647.00,0.00,656.97,2026-06-07
NLIC,767.60,777.00,767.60,0.00,769.72,2026-06-07
NLICL,595.00,595.00,595.00,0.00,591.78,2026-06-07
NMB,243.20,246.00,243.20,0.00,244.01,2026-06-07
NMB50,10.99,10.99,10.99,0.00,10.99,2026-06-07
NMBHF2,9.71,9.90,9.71,0.00,9.88,2026-06-07
NMBMF,642.00,652.00,642.00,0.00,643.17,2026-06-07
NMFBS,"1,146.00","1,146.00","1,146.00",0.00,"1,137.80",2026-06-07
NMIC,"1,067.80","1,137.10","1,067.80",0.00,"1,064.57",2026-06-07
NMLBBL,595.90,596.90,595.90,0.00,590.78,2026-06-07
NRIC,"1,070.00","1,099.90","1,070.00",0.00,"1,069.39",2026-06-07
NRM,361.50,366.00,361.50,0.00,361.05,2026-06-07
NRN,"1,381.00","1,396.00","1,381.00",0.00,"1,385.84",2026-06-07
NSIF2,10.85,10.85,10.85,0.00,10.83,2026-06-07
NSY,9.69,9.79,9.69,0.00,9.58,2026-06-07
NTC,857.00,860.00,857.00,0.00,857.89,2026-06-07
NUBL,666.00,666.00,666.00,0.00,660.61,2026-06-07
NWCL,790.00,806.00,790.00,0.00,783.45,2026-06-07
NYADI,421.00,435.00,421.00,0.00,422.72,2026-06-07
OHL,709.00,709.00,709.00,0.00,706.32,2026-06-07
OMPL,"1,155.00","1,165.00","1,155.00",0.00,"1,158.37",2026-06-07
PBD84,"1,110.00","1,110.00","1,110.00",0.00,"1,110.00",2026-06-07
PBD88,"1,195.00","1,207.00","1,195.00",0.00,"1,195.00",2026-06-07
PBLD84,"1,076.00","1,085.10","1,076.00",0.00,"1,076.00",2026-06-07
PCBL,240.00,242.00,240.00,0.00,240.40,2026-06-07
PCIL,780.00,850.00,780.00,0.00,780.55,2026-06-07
PFL,390.00,392.00,390.00,0.00,385.56,2026-06-07
PHCL,307.70,310.40,307.70,0.00,307.75,2026-06-07
PMHPL,338.00,339.90,338.00,0.00,338.18,2026-06-07
PMLI,481.00,491.00,481.00,0.00,481.30,2026-06-07
PPCL,386.00,398.90,386.00,0.00,383.80,2026-06-07
PPL,351.00,360.00,351.00,0.00,351.13,2026-06-07
PRIN,703.00,720.00,703.00,0.00,703.91,2026-06-07
PROFL,466.00,475.00,466.00,0.00,467.69,2026-06-07
PRSF,12.99,13.10,12.99,0.00,13.01,2026-06-07
PRVU,197.00,199.90,197.00,0.00,196.80,2026-06-07
PSF,12.50,12.50,12.50,0.00,12.38,2026-06-07
PURE,910.00,920.00,910.00,0.00,909.80,2026-06-07
RADHI,774.00,778.00,774.00,0.00,770.77,2026-06-07
RAWA,562.00,567.90,562.00,0.00,564.42,2026-06-07
RBBD2088,"1,075.00","1,075.00","1,075.00",0.00,"1,071.80",2026-06-07
RBBF40,9.42,9.70,9.42,0.00,9.49,2026-06-07
RBCL,"15,310.00","15,310.00","15,310.00",0.00,"15,227.70",2026-06-07
RBCLPO,"11,900.00","11,990.00","11,900.00",0.00,"11,794.59",2026-06-07
RFPL,364.90,373.00,364.90,0.00,365.34,2026-06-07
RHGCL,285.90,294.00,285.90,0.00,286.92,2026-06-07
RHPL,274.00,280.00,274.00,0.00,274.93,2026-06-07
RIDI,352.00,359.00,352.00,0.00,352.07,2026-06-07
RLEL,928.00,970.00,928.00,0.00,935.99,2026-06-07
RLFL,494.50,501.00,494.50,0.00,492.16,2026-06-07
RMF1,9.66,9.83,9.66,0.00,9.67,2026-06-07
RMF2,10.35,10.35,10.35,0.00,10.20,2026-06-07
RNLI,474.50,477.00,474.50,0.00,473.50,2026-06-07
RSDC,671.00,698.00,671.00,0.00,672.09,2026-06-07
RSML,"3,580.00","3,648.00","3,580.00",0.00,"3,608.96",2026-06-07
RSY,10.33,10.33,10.33,0.00,10.31,2026-06-07
RURU,656.00,657.00,656.00,0.00,653.93,2026-06-07
SABBL,"1,185.00","1,208.00","1,185.00",0.00,"1,192.64",2026-06-07
SADBL,420.00,443.60,420.00,0.00,421.58,2026-06-07
SAGAR,"1,672.10","1,696.00","1,672.10",0.00,"1,678.78",2026-06-07
SAGF,10.10,10.20,10.10,0.00,10.13,2026-06-07
SAHAS,664.30,669.90,664.30,0.00,665.42,2026-06-07
SAIL,"1,057.00","1,110.00","1,057.00",0.00,"1,065.31",2026-06-07
SALICO,645.00,646.90,645.00,0.00,641.92,2026-06-07
SAND2085,"1,152.00","1,152.00","1,152.00",0.00,"1,152.00",2026-06-07
SANIMA,368.00,370.00,368.00,0.00,366.15,2026-06-07
SANVI,689.50,705.00,689.50,0.00,687.67,2026-06-07
SAPDBL,848.00,875.00,848.00,0.00,860.12,2026-06-07
SARBTM,865.20,879.80,865.20,0.00,867.14,2026-06-07
SBCF,9.59,9.85,9.59,0.00,9.61,2026-06-07
SBD87,"1,131.60","1,131.60","1,131.60",0.00,"1,131.60",2026-06-07
SBD89,"1,190.00","1,200.00","1,190.00",0.00,"1,193.75",2026-06-07
SBI,399.00,399.90,399.00,0.00,396.21,2026-06-07
SBID2090,"1,151.50","1,118.00","1,151.50",0.00,"1,151.50",2026-06-07
SBID89,"1,147.00","1,147.00","1,147.00",0.00,"1,147.00",2026-06-07
SBL,401.00,405.90,401.00,0.00,401.47,2026-06-07
SBLD2091,"1,092.00","1,092.80","1,092.00",0.00,"1,092.55",2026-06-07
SBLD84,"1,120.00","1,178.00","1,120.00",0.00,"1,120.00",2026-06-07
SBLD89,"1,241.00","1,241.00","1,241.00",0.00,"1,241.00",2026-06-07
SCB,657.10,662.00,657.10,0.00,658.56,2026-06-07
SDBD87,"1,132.00","1,164.90","1,132.00",0.00,"1,132.00",2026-06-07
SEF,9.97,10.00,9.97,0.00,9.98,2026-06-07
SFCL,396.10,409.00,396.10,0.00,398.21,2026-06-07
SFEF,10.14,10.14,10.14,0.00,10.14,2026-06-07
SFMF,10.21,10.21,10.21,0.00,10.21,2026-06-07
SGHC,365.50,374.00,365.50,0.00,366.53,2026-06-07
SGIC,501.00,510.00,501.00,0.00,502.20,2026-06-07
SHEL,314.30,322.00,314.30,0.00,315.21,2026-06-07
SHINE,417.00,419.30,417.00,0.00,417.17,2026-06-07
SHINED,"1,096.00","1,100.00","1,096.00",0.00,"1,099.13",2026-06-07
SHIVM,673.00,715.00,673.00,0.00,680.36,2026-06-07
SHL,503.10,518.00,503.10,0.00,504.14,2026-06-07
SHLB,"1,528.00","1,528.00","1,528.00",0.00,"1,502.30",2026-06-07
SHPC,516.00,524.50,516.00,0.00,517.02,2026-06-07
SICL,656.60,660.00,656.60,0.00,651.28,2026-06-07
SIFC,572.60,587.00,572.60,0.00,577.70,2026-06-07
SIGS2,10.80,10.80,10.80,0.00,10.71,2026-06-07
SIGS3,11.25,11.25,11.25,0.00,11.12,2026-06-07
SIKLES,602.90,603.70,602.90,0.00,598.99,2026-06-07
SINDU,754.00,762.20,754.00,0.00,754.97,2026-06-07
SIPD,773.00,790.00,773.00,0.00,771.80,2026-06-07
SJCL,296.00,304.00,296.00,0.00,295.06,2026-06-07
SJLIC,438.00,445.00,438.00,0.00,441.08,2026-06-07
SKBBL,765.80,775.00,765.80,0.00,765.58,2026-06-07
SKHEL,"1,200.00","1,235.00","1,200.00",0.00,"1,197.02",2026-06-07
SKHL,916.90,934.60,916.90,0.00,912.21,2026-06-07
SLBBL,830.00,835.00,830.00,0.00,826.90,2026-06-07
SLBSL,"1,209.00","1,239.00","1,209.00",0.00,"1,200.25",2026-06-07
SLCF,10.00,10.15,10.00,0.00,10.02,2026-06-07
SMATA,779.60,780.00,779.60,0.00,776.22,2026-06-07
SMB,"1,750.00","1,760.00","1,750.00",0.00,"1,745.36",2026-06-07
SMFBS,"1,520.00","1,549.90","1,520.00",0.00,"1,516.52",2026-06-07
SMH,585.30,615.00,585.30,0.00,583.56,2026-06-07
SMHL,501.00,505.00,501.00,0.00,502.85,2026-06-07
SMJC,475.00,485.00,475.00,0.00,474.00,2026-06-07
SMPDA,833.00,841.00,833.00,0.00,833.32,2026-06-07
SNLI,454.00,461.00,454.00,0.00,457.64,2026-06-07
SOHL,655.00,661.00,655.00,0.00,654.92,2026-06-07
SONA,448.00,451.00,448.00,0.00,443.19,2026-06-07
SPC,459.90,465.00,459.90,0.00,455.90,2026-06-07
SPDL,398.30,405.00,398.30,0.00,398.01,2026-06-07
SPHL,632.00,708.00,632.00,0.00,611.43,2026-06-07
SPIL,740.70,750.00,740.70,0.00,737.40,2026-06-07
SPL,711.00,720.00,711.00,0.00,713.73,2026-06-07
SRLI,410.00,410.00,410.00,0.00,402.97,2026-06-07
SSHL,214.00,216.00,214.00,0.00,214.20,2026-06-07
STC,"5,450.00","5,450.00","5,450.00",0.00,"5,413.57",2026-06-07
SWASTIK,"2,379.00","2,385.00","2,379.00",0.00,"2,360.53",2026-06-07
SWBBL,743.90,744.00,743.90,0.00,742.20,2026-06-07
SWMF,665.00,665.00,665.00,0.00,663.44,2026-06-07
SYPNL,"1,405.00","1,434.70","1,405.00",0.00,"1,409.66",2026-06-07
TAMOR,464.00,470.00,464.00,0.00,463.04,2026-06-07
TPC,367.90,371.00,367.90,0.00,366.61,2026-06-07
TRH,770.00,770.00,770.00,0.00,766.25,2026-06-07
TSHL,560.00,574.90,560.00,0.00,562.68,2026-06-07
TTL,808.00,820.00,808.00,0.00,809.24,2026-06-07
TVCL,503.00,515.00,503.00,0.00,507.72,2026-06-07
UAIL,478.00,490.00,478.00,0.00,482.54,2026-06-07
UHEWA,590.10,591.00,590.10,0.00,589.01,2026-06-07
ULBSL,"3,220.00","3,220.00","3,220.00",0.00,"2,873.20",2026-06-07
ULHC,463.50,464.00,463.50,0.00,461.65,2026-06-07
UMHL,584.00,584.00,584.00,0.00,579.23,2026-06-07
UMRH,547.90,548.00,547.90,0.00,541.46,2026-06-07
UNHPL,424.00,433.60,424.00,0.00,425.99,2026-06-07
UNL,"46,725.00","46,900.00","46,725.00",0.00,"46,754.17",2026-06-07
UNLB,"1,399.90","1,400.00","1,399.90",0.00,"1,381.66",2026-06-07
UPCL,370.50,372.00,370.50,0.00,369.27,2026-06-07
UPPER,203.00,205.00,203.00,0.00,203.15,2026-06-07
USHEC,505.00,507.00,505.00,0.00,505.02,2026-06-07
USHL,610.00,621.00,610.00,0.00,608.98,2026-06-07
USLB,"1,255.00","1,260.00","1,255.00",0.00,"1,252.68",2026-06-07
VLBS,705.30,714.00,705.30,0.00,707.37,2026-06-07
VLUCL,490.00,491.00,490.00,0.00,488.95,2026-06-07
WNLB,"1,451.00","1,472.90","1,451.00",0.00,"1,450.78",2026-06-07
