symbol,ltp,open,high,low,volume,prev_close
SONA,448.00,440.00,451.00,432.00,"29,673,568.50",31.72
SPC,459.90,457.10,465.00,446.50,"6,659,293.80",33.45
SPDL,398.30,405.00,405.00,395.70,"17,930,793.40",27.96
SPHL,632.00,600.00,708.00,595.00,"51,743,824.90",47.22
SPIL,740.70,700.00,750.00,700.00,"4,509,925.10",40.02
SPL,711.00,691.30,720.00,691.30,"870,750.30",24.94
SRLI,410.00,395.40,410.00,395.20,"11,912,890.20",46.32
SSHL,214.00,215.00,216.00,213.40,"23,541,520.20",22.42
STC,"5,450.00","5,400.30","5,450.00","5,400.30","2,977,462.00",30.33
SWASTIK,"2,379.00","2,380.00","2,385.00","2,340.00","2,063,106.60",39.31
SWBBL,743.90,744.00,744.00,736.00,"1,589,794.70",25.28
SWMF,665.00,664.10,665.00,663.00,"1,272,482.00",26.43
SYPNL,"1,405.00","1,352.80","1,434.70","1,352.80","54,449,469.90",21.39
TAMOR,464.00,470.00,470.00,461.00,"24,936,732.70",26.89
TPC,367.90,370.00,371.00,365.00,"9,143,645.70",28.16
TRH,770.00,741.00,770.00,741.00,"1,687,288.00",39.00
TSHL,560.00,563.00,574.90,560.00,"1,263,227.80",26.80
TTL,808.00,811.30,820.00,805.10,"9,255,285.70",30.34
TVCL,503.00,499.00,515.00,498.20,"3,451,990.00",23.70
UAIL,478.00,482.00,490.00,475.30,"17,103,504.00",45.54
UHEWA,590.10,586.30,591.00,583.10,"9,636,844.80",30.06
ULBSL,"3,220.00","2,800.00","3,220.00","2,800.00","14,365,997.90",49.46
ULHC,463.50,462.90,464.00,460.00,"2,965,612.50",27.40
UMHL,584.00,575.10,584.00,575.10,"16,590,835.00",30.87
UMRH,547.90,544.00,548.00,537.00,"3,051,666.40",26.32
UNHPL,424.00,425.00,433.60,422.00,"17,827,609.80",30.62
UNL,"46,725.00","46,900.00","46,900.00","46,725.00","2,805,250.00",30.39
UNLB,"1,399.90","1,366.00","1,400.00","1,365.00","1,838,983.00",40.80
UPCL,370.50,360.00,372.00,360.00,"12,884,175.30",26.51
UPPER,203.00,203.10,205.00,202.10,"14,528,207.30",25.83
USHEC,505.00,507.00,507.00,503.30,"2,023,617.50",22.85
USHL,610.00,621.00,621.00,603.10,"570,006.40",27.63
USLB,"1,255.00","1,250.00","1,260.00","1,245.00","692,731.40",24.85
VLBS,705.30,702.70,714.00,702.70,"1,357,438.90",43.92
VLUCL,490.00,481.10,491.00,481.10,"1,214,051.20",26.74
WNLB,"1,451.00","1,430.00","1,472.90","1,430.00","137,824.00",19.53
